module,credits
English Language Skills Enhancement I,2
Mathematics and Statistics,3
Sports Studies,2
Applied Science for Information Technology,3
Business Applications in Information Technology,3
Database management,2
Digital Computers,3
Fundamentals of Programming,3
Operating Systems,2
Principles of GIS and Applications,2
