module,credits
Computational Mathematics and Advanced Statistics,3
Accounting and Engineering Economics,2
Applied Computer Graphics and Multi Media Technologies,3
Enterprise Software Development,3
Human Computer Interaction,2
Management Information Systems,2
Medical Instrumentation,3
Microcontrollers and Industrial Automation,3
Project I,2
Software Project Management,2
