module,credits
Aesthetic Studies,2
English Language Skills Enhancement II,2
Mathematical Methods with Engineering Applications,3
Computer Networks,3
Digital Electronics,3
Fundamentals of Software Engineering,2
IT Security and Digital Forensics,2
Object Oriented Analysis and Design,2
Object Oriented Programming,3
Web Technologies,3
