module,credits
Communication Skills & Technical Writing,2
Industrial Statistics and Modelling Computation,3
Business Intelligence and Analytics,3
Cloud Computing,2
Digital Marketing,2
Intelligent Systems & Machine Learning,3
Internet of Things,3
Mobile Communication,3
Project II,2
Software Testing & Quality Controlling,2
